Detector, Descriptor, Image No., No. of matched points, Total Time
SHITOMASI,BRIEF,1,115,22
SHITOMASI,BRIEF,2,111,22
SHITOMASI,BRIEF,3,104,21
SHITOMASI,BRIEF,4,101,24
SHITOMASI,BRIEF,5,102,20
SHITOMASI,BRIEF,6,102,20
SHITOMASI,BRIEF,7,100,22
SHITOMASI,BRIEF,8,109,16
SHITOMASI,BRIEF,9,100,16
SHITOMASI,FREAK,1,90,47
SHITOMASI,FREAK,2,88,58
SHITOMASI,FREAK,3,87,59
SHITOMASI,FREAK,4,89,52
SHITOMASI,FREAK,5,83,55
SHITOMASI,FREAK,6,78,42
SHITOMASI,FREAK,7,81,40
SHITOMASI,FREAK,8,86,45
SHITOMASI,FREAK,9,84,44
SHITOMASI,BRISK,1,95,57
SHITOMASI,BRISK,2,88,56
SHITOMASI,BRISK,3,80,73
SHITOMASI,BRISK,4,90,64
SHITOMASI,BRISK,5,82,55
SHITOMASI,BRISK,6,79,61
SHITOMASI,BRISK,7,85,56
SHITOMASI,BRISK,8,86,55
SHITOMASI,BRISK,9,82,57
SHITOMASI,ORB,1,104,12
SHITOMASI,ORB,2,103,13
SHITOMASI,ORB,3,100,14
SHITOMASI,ORB,4,102,15
SHITOMASI,ORB,5,103,11
SHITOMASI,ORB,6,98,12
SHITOMASI,ORB,7,98,17
SHITOMASI,ORB,8,102,15
SHITOMASI,ORB,9,97,16
SHITOMASI,SIFT,1,112,27
SHITOMASI,SIFT,2,109,28
SHITOMASI,SIFT,3,104,33
SHITOMASI,SIFT,4,103,31
SHITOMASI,SIFT,5,99,27
SHITOMASI,SIFT,6,101,28
SHITOMASI,SIFT,7,96,28
SHITOMASI,SIFT,8,106,30
SHITOMASI,SIFT,9,97,26
HARRIS,BRIEF,1,14,12
HARRIS,BRIEF,2,11,13
HARRIS,BRIEF,3,15,12
HARRIS,BRIEF,4,20,15
HARRIS,BRIEF,5,24,38
HARRIS,BRIEF,6,26,14
HARRIS,BRIEF,7,16,19
HARRIS,BRIEF,8,24,16
HARRIS,BRIEF,9,23,23
HARRIS,FREAK,1,13,49
HARRIS,FREAK,2,13,40
HARRIS,FREAK,3,15,41
HARRIS,FREAK,4,15,51
HARRIS,FREAK,5,17,77
HARRIS,FREAK,6,20,48
HARRIS,FREAK,7,14,51
HARRIS,FREAK,8,21,48
HARRIS,FREAK,9,18,53
HARRIS,BRISK,1,12,56
HARRIS,BRISK,2,10,60
HARRIS,BRISK,3,14,55
HARRIS,BRISK,4,15,60
HARRIS,BRISK,5,16,85
HARRIS,BRISK,6,16,58
HARRIS,BRISK,7,15,63
HARRIS,BRISK,8,23,59
HARRIS,BRISK,9,21,72
HARRIS,ORB,1,12,17
HARRIS,ORB,2,13,15
HARRIS,ORB,3,16,14
HARRIS,ORB,4,18,16
HARRIS,ORB,5,24,42
HARRIS,ORB,6,18,13
HARRIS,ORB,7,15,19
HARRIS,ORB,8,24,17
HARRIS,ORB,9,20,30
HARRIS,SIFT,1,14,38
HARRIS,SIFT,2,11,34
HARRIS,SIFT,3,16,33
HARRIS,SIFT,4,19,37
HARRIS,SIFT,5,22,67
HARRIS,SIFT,6,22,32
HARRIS,SIFT,7,13,61
HARRIS,SIFT,8,24,28
HARRIS,SIFT,9,22,36
FAST,BRIEF,1,119,3
FAST,BRIEF,2,130,3
FAST,BRIEF,3,118,3
FAST,BRIEF,4,126,4
FAST,BRIEF,5,108,4
FAST,BRIEF,6,123,2
FAST,BRIEF,7,131,3
FAST,BRIEF,8,125,4
FAST,BRIEF,9,119,4
FAST,FREAK,1,97,42
FAST,FREAK,2,98,35
FAST,FREAK,3,94,36
FAST,FREAK,4,99,37
FAST,FREAK,5,88,39
FAST,FREAK,6,99,36
FAST,FREAK,7,104,33
FAST,FREAK,8,99,31
FAST,FREAK,9,103,33
FAST,BRISK,1,97,49
FAST,BRISK,2,104,48
FAST,BRISK,3,101,48
FAST,BRISK,4,98,46
FAST,BRISK,5,85,48
FAST,BRISK,6,107,49
FAST,BRISK,7,107,45
FAST,BRISK,8,100,55
FAST,BRISK,9,100,52
FAST,ORB,1,122,3
FAST,ORB,2,122,3
FAST,ORB,3,115,4
FAST,ORB,4,129,6
FAST,ORB,5,107,8
FAST,ORB,6,120,5
FAST,ORB,7,126,4
FAST,ORB,8,122,5
FAST,ORB,9,118,4
FAST,SIFT,1,118,24
FAST,SIFT,2,123,28
FAST,SIFT,3,110,45
FAST,SIFT,4,119,24
FAST,SIFT,5,114,19
FAST,SIFT,6,119,39
FAST,SIFT,7,123,30
FAST,SIFT,8,117,32
FAST,SIFT,9,103,25
BRISK,BRIEF,1,178,98
BRISK,BRIEF,2,205,103
BRISK,BRIEF,3,185,105
BRISK,BRIEF,4,179,106
BRISK,BRIEF,5,183,115
BRISK,BRIEF,6,195,117
BRISK,BRIEF,7,207,102
BRISK,BRIEF,8,189,101
BRISK,BRIEF,9,183,115
BRISK,FREAK,1,160,143
BRISK,FREAK,2,178,133
BRISK,FREAK,3,156,148
BRISK,FREAK,4,173,129
BRISK,FREAK,5,160,125
BRISK,FREAK,6,183,143
BRISK,FREAK,7,169,135
BRISK,FREAK,8,179,130
BRISK,FREAK,9,168,139
BRISK,BRISK,1,171,145
BRISK,BRISK,2,176,156
BRISK,BRISK,3,157,148
BRISK,BRISK,4,176,142
BRISK,BRISK,5,174,150
BRISK,BRISK,6,188,146
BRISK,BRISK,7,173,146
BRISK,BRISK,8,171,150
BRISK,BRISK,9,184,146
BRISK,ORB,1,160,108
BRISK,ORB,2,171,111
BRISK,ORB,3,157,110
BRISK,ORB,4,170,112
BRISK,ORB,5,154,123
BRISK,ORB,6,180,109
BRISK,ORB,7,171,99
BRISK,ORB,8,175,114
BRISK,ORB,9,172,102
BRISK,SIFT,1,182,138
BRISK,SIFT,2,193,139
BRISK,SIFT,3,169,142
BRISK,SIFT,4,183,130
BRISK,SIFT,5,171,135
BRISK,SIFT,6,195,132
BRISK,SIFT,7,194,128
BRISK,SIFT,8,176,120
BRISK,SIFT,9,183,139
ORB,BRIEF,1,49,12
ORB,BRIEF,2,43,11
ORB,BRIEF,3,45,9
ORB,BRIEF,4,59,9
ORB,BRIEF,5,53,9
ORB,BRIEF,6,78,12
ORB,BRIEF,7,68,12
ORB,BRIEF,8,84,12
ORB,BRIEF,9,66,9
ORB,FREAK,1,42,43
ORB,FREAK,2,36,47
ORB,FREAK,3,45,48
ORB,FREAK,4,47,39
ORB,FREAK,5,44,40
ORB,FREAK,6,51,38
ORB,FREAK,7,52,44
ORB,FREAK,8,49,43
ORB,FREAK,9,55,36
ORB,BRISK,1,73,54
ORB,BRISK,2,74,65
ORB,BRISK,3,79,54
ORB,BRISK,4,85,68
ORB,BRISK,5,79,57
ORB,BRISK,6,92,58
ORB,BRISK,7,90,58
ORB,BRISK,8,88,56
ORB,BRISK,9,91,57
ORB,ORB,1,65,15
ORB,ORB,2,69,20
ORB,ORB,3,71,17
ORB,ORB,4,85,20
ORB,ORB,5,91,19
ORB,ORB,6,101,19
ORB,ORB,7,95,17
ORB,ORB,8,93,22
ORB,ORB,9,91,17
ORB,SIFT,1,67,60
ORB,SIFT,2,79,54
ORB,SIFT,3,78,57
ORB,SIFT,4,79,43
ORB,SIFT,5,82,56
ORB,SIFT,6,95,67
ORB,SIFT,7,95,66
ORB,SIFT,8,94,74
ORB,SIFT,9,94,65
AKAZE,AKAZE,1,138,166
AKAZE,AKAZE,2,138,165
AKAZE,AKAZE,3,133,164
AKAZE,AKAZE,4,127,173
AKAZE,AKAZE,5,129,169
AKAZE,AKAZE,6,146,181
AKAZE,AKAZE,7,147,175
AKAZE,AKAZE,8,151,168
AKAZE,AKAZE,9,150,174
SIFT,BRIEF,1,86,130
SIFT,BRIEF,2,78,123
SIFT,BRIEF,3,76,142
SIFT,BRIEF,4,85,128
SIFT,BRIEF,5,69,124
SIFT,BRIEF,6,74,131
SIFT,BRIEF,7,76,128
SIFT,BRIEF,8,70,131
SIFT,BRIEF,9,88,118
SIFT,FREAK,1,64,153
SIFT,FREAK,2,72,155
SIFT,FREAK,3,65,151
SIFT,FREAK,4,66,153
SIFT,FREAK,5,63,156
SIFT,FREAK,6,58,147
SIFT,FREAK,7,64,151
SIFT,FREAK,8,65,154
SIFT,FREAK,9,79,153
SIFT,BRISK,1,64,171
SIFT,BRISK,2,66,168
SIFT,BRISK,3,62,180
SIFT,BRISK,4,66,171
SIFT,BRISK,5,59,169
SIFT,BRISK,6,64,180
SIFT,BRISK,7,64,171
SIFT,BRISK,8,67,163
SIFT,BRISK,9,80,173
SIFT,ORB,1,0,1215
SIFT,ORB,2,0,1130
SIFT,ORB,3,0,1083
SIFT,ORB,4,0,1115
SIFT,ORB,5,0,1093
SIFT,ORB,6,0,1098
SIFT,ORB,7,0,1060
SIFT,ORB,8,0,1034
SIFT,ORB,9,0,1033
SIFT,SIFT,1,82,284
SIFT,SIFT,2,81,203
SIFT,SIFT,3,85,221
SIFT,SIFT,4,93,177
SIFT,SIFT,5,90,204
SIFT,SIFT,6,81,172
SIFT,SIFT,7,82,174
SIFT,SIFT,8,102,192
SIFT,SIFT,9,104,205
